song_id	song_name	artist_id	artist_name	popularity	explicit	song_type	track_number	num_artists	num_available_markets	release_date	duration_ms	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo
2Wr970IfovsSGnfkE08iMF	Find Me	['01pKrlgPJhm5dB4lneYAqS', '2WX2uTcsvV5OnS0inACecP']	['Sigma', 'Birdy']	4	False	Collaboration	1	2	0	2016-11-04	204444	5	0	4	0.064	0.572	0.797	0.0	0.105	-3.995	0.0483	0.252	135.006
5Q8gCS68FITJDiWnedMejb	Côte Ouest	['0aXaZj4wB5jLF2E2d8WEVi']	['47ter']	67	True	Solo	1	1	3	2019-06-25	233973	8	1	4	0.56	0.749	0.593	0.0	0.16	-7.96	0.144	0.613	76.032
63THFs9ovzO3WQsz4lzh0H	DODI	['5j21TGkrNEAJe3gG9VlS34']	['Shindy']	56	True	Solo	1	1	3	2019-01-11	183045	10	0	4	0.0101	0.823	0.56	2.86e-05	0.126	-7.057	0.0629	0.371	146.958
6PQAihC4JERibFvkTUQPXN	Pardonne-moi	['2HALYSe657tNJ1iKVXP2xA']	['Johnny Hallyday']	46	False	Solo	4	1	79	2018-10-19	245520	4	0	3	0.223	0.614	0.563	0.000457	0.109	-7.055	0.0327	0.425	119.911
2kPpxNSgXRvu5yqkRLKJIu	Winter Wonderland / Don't Worry Be Happy (feat. Tori Kelly)	['26AHtbjWKiwYzsoGoUZq53', '1vSN1fsvrzpbttOYGsliDr']	['Pentatonix', 'Tori Kelly']	45	False	Collaboration	4	2	78	2015-10-30	207853	6	1	4	0.28	0.61	0.397	0.0	0.0833	-8.506	0.0504	0.718	129.761
3QiAAp20rPC3dcAtKtMaqQ	Blue Christmas	['43ZHCT0cAZBISjO8DG9PnE']	['Elvis Presley']	53	False	Solo	5	1	79	1957-10-15	129173	4	1	4	0.902	0.465	0.27	0.00104	0.145	-16.661	0.0425	0.58	94.519
5sCwso3aURYAdieWEFI1nE	Icy (feat. Gucci Mane)	['4xRYI6VqpkE3UwrDrAZL8L', '13y7CgLHjMVRMDqxdx0Xdo']	['Logic', 'Gucci Mane']	3	True	Collaboration	9	2	0	2019-05-10	265266	7	1	4	0.163	0.827	0.522	1.19e-06	0.109	-4.866	0.0845	0.477	151.99
5MFzQMkrl1FOOng9tq6R9r	Don't Wanna Know	['04gDigrS5kc9YWfZHwBETP', '2YZyLoL8N0Wb9xBt1NhZWg']	['Maroon 5', 'Kendrick Lamar']	13	False	Collaboration	1	2	0	2016-10-11	214480	7	1	4	0.338	0.783	0.623	0.0	0.0975	-6.126	0.08	0.447	100.048
0BLjucr4V0mMRhkrCdEZyC	Mi gyal	['5gs4Sm2WQUkcGeikMcVHbh']	['Hamza']	45	True	Solo	10	1	79	2017-10-27	264546	9	1	4	0.503	0.794	0.938	0.000297	0.0795	-4.523	0.0675	0.749	105.014
7HCTUZPqclRvsiefXWwyFz	Nummer	['5pVRwX5ZQR7hfJ18w8ZYkl', '0Dvx6p8JDyzeOPGmaCIH1L']	['Ufo361', 'RAF Camora']	61	False	Collaboration	1	2	79	2019-07-26	182213	11	0	4	0.223	0.688	0.638	0.000202	0.101	-6.855	0.134	0.291	193.851
1UZs9dauJnxrqYxMIzxnwC	DIAMANT	['6wWVKhxIU2cEi0K81v7HvP']	['Rammstein']	62	False	Solo	8	1	79	2019-05-17	154298	0	0	4	0.813	0.347	0.272	2.37e-05	0.102	-11.841	0.0375	0.122	140.506
6DXEZzM4wBa3EOl0NCNSvz	Did You See	['2a0uxJgbvvIRI4GX8pYfcr']	['J Hus']	66	True	Solo	6	1	79	2017-05-12	181413	11	0	4	0.387	0.579	0.579	0.0	0.17	-6.787	0.394	0.842	104.757
5uTod3SFov0HLe1QAPn960	Trône	['58wXmynHaAWI5hwlPZP3qL']	['Booba']	1	True	Solo	4	1	0	2017-12-01	196306	9	0	4	0.645	0.468	0.624	0.0	0.128	-6.528	0.106	0.285	175.842
5SBFZEipvLrddLiaDrZp2c	Rock Me Amadeus	['3TqfPVt0HX8GCzNOOjDcum', '1kgKTcsCuzdJBdkBDbgpjj']	['Sun Diego', 'Falco']	47	False	Collaboration	1	2	79	2018-04-27	189200	9	0	4	0.0641	0.594	0.637	0.0	0.0856	-5.634	0.0826	0.268	88.817
28SWsF1IQxfc9bP5yua35K	Provocar	['0jTDeBJQr3unrK29LklnAv', '7rXMvXRnWHaSwnVvPeUUfw']	['Lexa', 'Gloria Groove']	63	False	Collaboration	1	2	78	2018-11-22	168138	8	0	4	0.182	0.682	0.826	0.0	0.052	-4.854	0.0528	0.688	134.067
3TnhQSRwT3AVMdXw5JPq0x	Nena Maldicion (feat. Lenny Tavarez)	['3vQ0GE3mI0dAaxIMYe5g7z', '1pQWsZQehhS4wavwh7Fnxd']	['Paulo Londra', 'Lenny Tavárez']	7	False	Collaboration	1	2	0	2018-01-30	228874	6	1	4	0.178	0.762	0.631	0.0	0.146	-4.837	0.0544	0.379	118.969
36YCdzT57us0LhDmCYtrNE	Rockin’	['1Xyo4u8uXC1ZmMpatF05PJ']	['The Weeknd']	70	True	Solo	5	1	79	2016-11-25	232880	9	0	4	0.0133	0.738	0.885	0.0	0.0821	-5.547	0.206	0.752	112.878
39qlqpwVzRkQP6WsILfIB5	Murcielago	['5p7mWeX4RlvqBCxylfiXdE', '3drqpTL4sQOckmAfF9i1wg']	['KC Rebell', 'Summer Cem']	60	True	Collaboration	8	2	79	2017-06-16	228603	10	0	4	0.318	0.828	0.693	0.0	0.177	-5.294	0.284	0.87	137.985
7lVDV1bgEsiZMssv9ydpDZ	Fällig	['4Yttlv9ndGjCDCVLqM7ACq', '4hK7sEnm0se5bqoI3Yb5o1']	['Sido', 'Santos']	50	False	Collaboration	11	2	79	2019-09-26	198483	1	1	4	0.0526	0.799	0.534	0.0435	0.453	-5.295	0.0594	0.547	118.044
6hmhG1b4LEyNuashVvuIAo	Never Forget You	['1Xylc3o4UrD53lo9CvFvVg', '7uMh23xWiuR7zsNkuNcm2G']	['Zara Larsson', 'MNEK']	76	False	Collaboration	7	2	67	2017-03-17	213427	11	0	4	0.00312	0.583	0.732	9.86e-06	0.269	-5.728	0.0457	0.276	145.992
3LHdAyPMv32POqBod0QCRC	Pente noire	['7rTPCNINGzMp3Hc8Xqht5Z']	['13 Block']	35	True	Solo	10	1	79	2019-04-26	229426	11	1	4	0.484	0.813	0.642	0.0	0.243	-7.365	0.339	0.259	130.043
6iLnjLp3O7ajFdEO9QqKDn	紙飛行機	['0FnDCrmcQT8qz5TEsZIYw5']	['Awich']	32	False	Solo	4	1	1	2018-10-10	197590	6	0	4	0.0011	0.53	0.754	5.88e-05	0.191	-5.906	0.111	0.654	89.676
77lqbary6vt1DSc1MBN6sx	You Were Right	['5Pb27ujIyYb33zBqVysBkj']	['RÜFÜS DU SOL']	48	False	Solo	4	1	10	2016-01-22	239417	5	0	4	0.0138	0.708	0.793	0.00227	0.118	-5.426	0.0341	0.735	122.014
6rcKz2VYbcaHJ0qSXucR56	Too Hotty	['6i392l38cR3uBPF0DbNs7S', '6oMuImdp5ZcFhWP0ESe6mG', '7F1l2kTBvOPGd8sF8nBEtv']	['Quality Control', 'Migos', 'Eurielle']	2	True	Collaboration	1	3	0	2017-08-25	297377	1	1	4	0.179	0.884	0.406	0.0	0.106	-7.202	0.2	0.163	130.027
5fC0WP5ZXzDpuP49e06e75	Pour les jaja	['4vtz0m60CCrcsQmqDunDIR']	['Moha La Squale']	40	True	Solo	19	1	79	2018-05-25	190239	1	1	5	0.136	0.589	0.731	0.0	0.599	-3.846	0.528	0.385	98.914
7tgjDlQsMR8RvkdlNCJA58	6 Kiss	['6Xgp2XMz1fhVYe7i6yNAax', '4MCBfE4596Uoi2O4DtmEMz', '1cNDP5yjU5vjeR8qMf4grg']	['Trippie Redd', 'Juice WRLD', 'YNW Melly']	78	True	Collaboration	7	3	79	2019-11-22	199436	2	1	4	0.109	0.687	0.449	0.0	0.282	-10.061	0.154	0.229	142.048
77lGafvlU68CeHgB2pkHC9	At My Best (feat. Hailee Steinfeld)	['6TIYQ3jFPwQSRmorSezPxX', '5p7f24Rk5HkUZsaS3BLG5F']	['Machine Gun Kelly', 'Hailee Steinfeld']	63	False	Collaboration	4	2	79	2017-05-12	199973	7	0	4	0.00273	0.524	0.772	0.000169	0.224	-6.696	0.152	0.237	169.855
5PVE1tNUxjqoLgaUtz4CE8	Papillon	['5olcgTzelGdyP1rHRLyWgs']	['S.Pri Noir']	42	True	Solo	3	1	79	2018-05-11	209680	11	0	4	0.658	0.762	0.548	0.000184	0.108	-8.188	0.21	0.272	101.059
6Na5uKk5SsqZimk0hAWo8y	Signs	['3TVXtAsR1Inumwj472S9r4']	['Drake']	70	False	Solo	1	1	79	2017-06-23	234373	0	1	4	0.108	0.794	0.735	0.00578	0.112	-4.204	0.054	0.223	107.374
26pr9oLIVAc1L62F2exIRT	Fragen	['39KEQQAG9JhIt71g9NEVhh', '2otUckChxWf2cp6UP2cD6e']	['Azet', 'Zuna']	53	True	Collaboration	1	2	79	2019-02-22	176260	2	0	4	0.488	0.839	0.733	8.28e-05	0.0923	-5.26	0.273	0.409	123.14
3OmMEncU5Z8hZJVKwAMZpk	Dans l'univers	['4LXBc13z5EWsc5N32bLxfH', '1FmxE030Xe2H8Bn9bdv6Pd']	['Nekfeu', 'Vanessa Paradis']	3	True	Collaboration	10	2	0	2019-06-06	244320	11	1	4	0.322	0.662	0.424	0.000217	0.14	-9.949	0.161	0.208	131.938
0RjhrAgD7bSYBi0fyqX616	Hallo Hallo	['39KEQQAG9JhIt71g9NEVhh', '2otUckChxWf2cp6UP2cD6e']	['Azet', 'Zuna']	51	True	Collaboration	4	2	79	2019-03-08	166724	7	0	4	0.236	0.82	0.653	0.0	0.165	-6.693	0.24	0.666	98.053
7tJxOGGsTtw7CbRWgUYCld	Indochine	['5AAzeysphag0NxJxLbbVla', '1eTRyiHsWMoWKPD6s4Kiqt']	['Columbine', 'Lujipeka']	37	True	Collaboration	16	2	79	2018-09-28	198040	9	0	4	0.511	0.572	0.599	0.0	0.105	-8.504	0.111	0.266	139.803
1XCKlzIqaehohdUTihetGN	Cobertor de Orelha - Ao Vivo	['5JG9GISYjRLQUJMH2C6iJ5']	['Turma do Pagode']	62	False	Solo	2	1	79	2017-08-15	156921	9	1	4	0.773	0.611	0.849	0.0	0.982	-6.652	0.0415	0.907	80.067
0R6Jlsq25eZB3Wftpxi3oF	Jonestown (Interlude)	['246dkjvS1zLTtiykXe5h60']	['Post Malone']	62	False	Solo	15	1	79	2018-04-27	112013	0	0	4	0.755	0.38	0.454	0.623	0.263	-10.271	0.0362	0.288	77.592
6LfA9Sj2fZM2XmFFYmzKSm	Interlude	['2pHk4wAmL7ofTAuvCIUWtv']	['Roméo Elvis']	43	True	Solo	12	1	79	2019-04-12	108493	10	0	5	0.981	0.409	0.136	0.895	0.093	-21.931	0.0402	0.152	70.775
6XOYVSmNDjKUNMXooU4s4z	No Vacancy	['5Pwc4xIPtQLFEnJriah9YJ']	['OneRepublic']	10	False	Solo	1	1	0	2017-04-28	223189	5	1	4	0.0571	0.71	0.73	0.0	0.139	-4.001	0.0607	0.48	99.986
5FJUbcs6V1sMuDNw0GM2NQ	Voyage léger	['4LXBc13z5EWsc5N32bLxfH']	['Nekfeu']	60	True	Solo	17	1	79	2019-06-21	202693	8	0	4	0.264	0.75	0.557	0.0	0.122	-7.878	0.233	0.137	119.968
1FTsXXwai3jVXhBTLd4e4L	Incerteza - Na Praia / Ao Vivo	['2Z0lRIqr997lIUiPtrpKCr']	['Matheus & Kauan']	0	False	Solo	4	1	0	2016-02-26	189400	7	1	4	0.0396	0.575	0.784	0.0	0.639	-4.248	0.0808	0.452	110.012
0V2axJ946WH1vt9t5SGMLV	Story	['0aD7NQx7yauKlVDnqOxk6q']	['AI']	60	False	Solo	15	1	10	2006-09-27	288506	0	1	4	0.427	0.586	0.632	0.0	0.109	-4.714	0.0268	0.391	125.94
2xSrXv2kHXdBGCXv31TzeQ	Cada um na Sua - Ao Vivo	['1oSgjdbgLYULVmEBojPRw8']	['Fernando & Sorocaba']	0	False	Solo	7	1	0	2018-12-07	221498	1	1	4	0.68	0.618	0.818	0.0	0.984	-3.013	0.0638	0.593	143.01
3XbxOKMhF5DnOYue7JMsYm	Mama	['6L34dW6SKMSDaGIfYDU19j']	['Maes']	61	True	Solo	2	1	79	2018-11-29	220773	7	0	4	0.371	0.66	0.591	0.00805	0.21	-9.404	0.113	0.222	94.028
0wTDvm3s5COanWlqf91hdS	GONG	['6YqdtpUutxodni6lUD4stM']	['WANIMA']	51	False	Solo	3	1	79	2019-07-17	269947	6	1	4	0.00272	0.562	0.97	0.0	0.346	-2.488	0.0668	0.648	97.489
7bTOo2cEsj7HqColBVPkm1	baum	['3utZ2yeQk0Z3BCOBWP7Vlu']	['Cro']	47	True	Solo	7	1	79	2017-09-08	418668	9	1	4	0.497	0.399	0.507	0.0	0.0745	-10.617	0.377	0.372	76.385
6kQtZRfVpMV1XsPkyjjzLa	Dior Runners	['7rkW85dBwwrJtlHRDkJDAC']	['NAV']	0	True	Solo	13	1	0	2019-03-22	166001	4	0	4	0.16	0.856	0.796	0.0	0.132	-5.322	0.404	0.448	162.053
4IdAIZRVkwuQQnHpi529cn	No Longer Friends	['2EMAnMvWE2eb56ToJVfCWs']	['Bryson Tiller']	55	True	Solo	2	1	79	2017-05-26	134746	11	1	4	0.205	0.652	0.663	0.0	0.105	-7.78	0.326	0.377	114.133
4iVD0fTHGxV9JWloujsL3s	Double Up (feat. Belly and Dom Kennedy)	['0EeQBlQJFiAfJeVN2vT9s0', '0FOWNUFHPnMy0vOw1siGqi', '3s8alQfNnY0roAHaJh7Xxt']	['Nipsey Hussle', 'Belly', 'Dom Kennedy']	71	True	Collaboration	15	3	79	2018-02-16	361280	2	1	4	0.0544	0.604	0.436	0.000242	0.162	-8.32	0.188	0.239	107.978
5UYK9MervBCROg8AHNeEIy	Hear Me Calling	['4MCBfE4596Uoi2O4DtmEMz']	['Juice WRLD']	2	True	Solo	1	1	0	2019-03-01	189977	10	1	4	0.417	0.648	0.701	9.9e-06	0.103	-3.546	0.186	0.588	177.943
7xVLFuuYdAvcTfcP3IG3dS	Work REMIX (feat. A$AP Rocky, French Montana, Trinidad James & ScHoolboy Q)	['5dHt1vcEm9qb8fCyLcB3HL', '13ubrt8QOOCPljQ2FL1Kca', '6vXTefBL93Dj5IqAWq6OTv', '0I5HubncQ8E1MFZOlPDY4J', '5IcR3N7QB1j6KBL8eImZ8m']	['A$AP Ferg', 'A$AP Rocky', 'French Montana', 'Trinidad James', 'ScHoolboy Q']	70	True	Collaboration	8	5	79	2013-08-19	283693	1	1	4	0.0246	0.841	0.733	0.0	0.174	-5.077	0.142	0.284	130.009
6dFn6my1sHK2bcf23GlHwM	2009	['4LLpKhyESsyAXpc4laK94U']	['Mac Miller']	70	True	Solo	12	1	79	2018-08-03	347986	6	0	4	0.77	0.533	0.496	0.000164	0.0969	-9.363	0.517	0.173	155.158
2Xqwc88RkTu9Ybwn6oS7Ea	Doverstreet	['18ISxWwWjV6rPLoVCXf1dz']	['RIN']	2	False	Solo	1	1	0	2017-03-31	185130	0	0	4	0.492	0.809	0.537	0.0985	0.102	-9.341	0.0572	0.649	149.948
2YrPXEezDwNbDj7kkUOWPy	Le magot	['1q7T9rFQ2a2ukA1PU51fo3']	['Koba LaD']	46	True	Solo	11	1	79	2019-04-19	183160	8	0	4	0.171	0.813	0.736	1.6e-06	0.209	-5.454	0.12	0.756	139.939
3J3JcR6Akadd7R42qoqdhy	Es Rollt	['0b62itBWBdLgiecXjXCqKC', '2jku7tDXc6XoB6MO2hFuqg', '5eioJDe26lOqkAMbuhzZYs']	['Maxwell', 'Tory Lanez', 'Gzuz']	41	True	Collaboration	6	3	76	2017-03-24	224967	2	1	5	0.0275	0.405	0.653	0.0	0.0641	-6.03	0.0677	0.208	146.991
70mIuBKGTPrWMwWq9D4F56	Wavy (feat. Joe Moses)	['7c0XG5cIJTrrAgEC3ULPiq', '54QA4zjZDOyaLN8bVthBjP']	['Ty Dolla $ign', 'Joe Moses']	70	True	Collaboration	18	2	70	2016-03-25	187671	11	1	4	0.0898	0.75	0.491	0.0	0.109	-8.326	0.117	0.711	105.008
0XIzUm7rwQfyy6H1CJeAs9	BruxellesVie	['2UwqpfQtNuhBwviIC0f2ie']	['Damso']	59	True	Solo	9	1	77	2016-07-08	202240	8	1	4	0.138	0.761	0.635	6.37e-05	0.089	-3.324	0.14	0.595	120.089
7bSrg0OrH9eEMjRn6JhmyT	Ma kush	['2kXKa3aAFngGz2P4GjG5w2']	['SCH']	38	True	Solo	9	1	78	2017-05-05	223840	8	1	4	0.231	0.568	0.775	0.0096	0.157	-6.448	0.0936	0.251	131.937
55zn5ujMpCkJWd2exRvs5r	Liquide rouge	['6L34dW6SKMSDaGIfYDU19j']	['Maes']	64	True	Solo	1	1	79	2019-12-12	152932	0	0	4	0.287	0.705	0.639	0.0	0.133	-7.617	0.102	0.569	116.014
461LN3UXOCqznSTqapFzL0	At Christmas	['4RVnAU35WRWra6OZ3CbbMA']	['Kylie Minogue']	8	False	Solo	7	1	1	2016-11-17	226240	2	1	4	0.0816	0.781	0.676	0.0	0.0437	-7.418	0.0493	0.694	137.044
4WUbJBhwg1MB25H5dzvUbP	Fick Dein Ex	['6NG0bF3tpQuQOixbzFPLIv']	['Lil Lano']	52	True	Solo	1	1	79	2019-04-12	163644	1	1	4	0.0238	0.717	0.768	0.0	0.0937	-6.467	0.0949	0.529	155.015
1YcY5Iiv3Ab68QC2rMKuBP	J'suis dans l'baye	['7CUFPNi1TU8RowpnFRSsZV']	['Niska']	0	True	Solo	1	1	0	2017-04-07	182840	7	0	4	0.129	0.801	0.771	0.0	0.167	-2.368	0.213	0.536	150.112
1NEdLeqdQ8hufML9t9dHiU	C'est mon sang	['2s7fZ34RK8RUJQ2ewsh6I5', '6qFt3TjvxMt77YGsktWG8Z']	['RK', 'Sofiane']	50	True	Collaboration	1	2	79	2019-03-07	186918	8	0	4	0.378	0.804	0.706	0.0	0.237	-5.297	0.243	0.59	125.073
6KjbNLbRjuoa8rEq5yNA6H	Honest	['69GGBxA162lTqCwzJG5jLp']	['The Chainsmokers']	62	False	Solo	9	1	79	2017-04-07	208000	0	0	4	0.0121	0.673	0.514	8.5e-05	0.385	-10.772	0.0465	0.312	100.035
2RL74ODWD3YGcHIhNeJvNN	O Céu Explica Tudo - Ao Vivo	['3p7PcrEHaaKLJnPUGOtRlT']	['Henrique & Juliano']	59	False	Solo	5	1	79	2017-07-07	144493	1	1	4	0.355	0.357	0.743	0.0	0.375	-5.833	0.0977	0.353	187.805
3wwo0bJvDSorOpNfzEkfXx	Let Me Know (I Wonder Why Freestyle)	['4MCBfE4596Uoi2O4DtmEMz']	['Juice WRLD']	80	True	Solo	1	1	79	2019-12-07	215380	7	0	4	0.172	0.635	0.537	0.0	0.418	-7.895	0.0832	0.383	125.028
01eVMUiJcYmHqy1HUURwOY	Wünsch mir was	['2P7AfQW941UU324qq2ggZf']	['METRICKZ']	59	False	Solo	4	1	79	2019-06-07	195859	1	1	4	0.0491	0.707	0.642	0.0	0.184	-5.93	0.203	0.373	96.021
33d6rJoYPXAZsSDcog3cV8	Dieses Leben	['2YIxQoGvBukvoC1CbJ7opS']	['Fynn Kliemann']	26	False	Solo	7	1	0	2018-09-28	169844	7	0	4	0.338	0.73	0.659	0.0	0.294	-4.72	0.0408	0.532	120.056
5FkBFIGzG8lYFktLyZNUq6	Makeba - Radio Edit	['2HHmvvSQ44ePDH7IKVzgK0']	['Jain']	53	False	Solo	1	1	78	2016-12-02	216293	2	1	4	0.454	0.814	0.485	0.439	0.342	-14.604	0.0683	0.431	116.024
7kRhodBTcAQXGoZdTEw8fZ	Me Beija Com Raiva	['59FrDXDVJz0EKqYg39dnT2']	['Jão']	63	False	Solo	2	1	77	2018-08-17	196658	5	0	4	0.271	0.621	0.677	0.0	0.102	-5.739	0.0669	0.483	150.027
7lnQCEtaDJeMZN75siSxLc	Fabergé	['18ISxWwWjV6rPLoVCXf1dz']	['RIN']	64	True	Solo	1	1	79	2019-09-27	177093	11	1	4	0.0513	0.721	0.647	0.0026	0.2	-7.039	0.189	0.56	164.011
1r33iukEx0COYuBzyXPmPP	Hun43rd	['13ubrt8QOOCPljQ2FL1Kca']	['A$AP Rocky']	58	True	Solo	12	1	79	2018-05-25	242746	2	1	4	0.444	0.584	0.546	0.0	0.355	-9.321	0.0762	0.355	136.336
2SJAhpAZZLKYIWWu7S2idS	Jupiter	['2N19kPGlqKY8GiyE4DkAtp']	['Little Glee Monster']	51	False	Solo	5	1	1	2018-01-17	299453	1	1	4	0.635	0.359	0.207	0.0	0.208	-7.308	0.036	0.276	169.757
05Z7jet4VDNVgNQWcYHnrk	Party (feat. Usher & Gucci Mane)	['7bXgB6jMjp9ATFy66eO08Z', '23zg3TcAtWQy7J6upgbUnj', '13y7CgLHjMVRMDqxdx0Xdo']	['Chris Brown', 'Usher', 'Gucci Mane']	69	True	Collaboration	1	3	78	2016-12-16	220813	1	0	4	0.0556	0.762	0.576	0.0	0.0869	-4.951	0.0829	0.316	142.096
1JlETkRf6C4G8GBQMvcWQH	Flex	['3CJKkU0XuElRT1z8rEtIYg']	['Luciano']	46	False	Solo	3	1	79	2017-11-17	140346	1	1	4	0.15	0.917	0.609	1.78e-06	0.125	-5.319	0.331	0.288	140.002
5rd1IgSMbApoXsVY9aorCV	Dancing	['4RVnAU35WRWra6OZ3CbbMA']	['Kylie Minogue']	44	False	Solo	1	1	76	2018-01-19	178880	6	1	4	0.0084	0.497	0.706	0.000165	0.325	-4.554	0.0371	0.528	110.038
5xey3cl8y5fWst3EKgPFk8	Drowning	['0DdDnziut7wOo6cAYWVZC5', '6RHKEd9dpzQ4c09x8Zdaxu']	['KREAM', 'Clara Mae']	54	False	Collaboration	1	2	79	2017-07-21	196711	8	1	4	0.0402	0.626	0.793	0.0	0.0909	-5.522	0.0441	0.408	97.011
2JvzF1RMd7lE3KmFlsyZD8	MIDDLE CHILD	['6l3HvQ5sa6mXTsMTB19rO5']	['J. Cole']	84	True	Solo	1	1	79	2019-01-23	213593	8	1	4	0.149	0.837	0.364	0.0	0.271	-11.713	0.276	0.463	123.984
2urNDG0UgnGIYw50nVL0fs	Nana	['3DCWeG2J1fZeu0Oe6i5Q6m']	['PLK']	51	True	Solo	7	1	79	2019-09-13	160320	0	0	4	0.198	0.628	0.786	0.0	0.1	-5.055	0.144	0.699	99.282
76ZrqdtkKxhMl42xAQTnFm	AfricAryaN	['4xRYI6VqpkE3UwrDrAZL8L', '1v3r802Az10JtIzSPawWzw']	['Logic', 'Neil deGrasse Tyson']	50	True	Collaboration	13	2	79	2017-05-05	728413	10	1	4	0.154	0.529	0.799	0.0	0.0858	-7.025	0.166	0.354	104.054
1Szfm2XAx3Kgl55dyl8sTU	Time (feat. Meek Mill)	['5f7VJjfbwm532GiveGC0ZK', '20sxb77xiYeusSH8cVdatc']	['Lil Baby', 'Meek Mill']	61	True	Collaboration	4	2	79	2018-11-30	182723	8	1	4	0.0335	0.781	0.487	0.0	0.163	-8.823	0.589	0.344	95.879
